Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Royal,8/12/2021,OTT 16 - 18 MTL,20,15,0.92,0.54,0.61,0.42,0.37,0.54,0.68,16,18,0.529
Cascades,8/13/2021,SEA 16 - 20 SJ,25,15,0.91,0.54,0.59,0.39,0.17,0.33,0.9,16,20,0.444
Empire,8/13/2021,NY 20 - 19 PHI,16,8,0.95,0.67,0.71,0.6,0.24,0.42,0.73,20,19,0.513
Glory,8/13/2021,PIT 20 - 26 BOS,16,14,0.92,0.75,0.73,0.55,0.36,0.77,0.82,20,26,0.565
Phoenix,8/13/2021,NY 20 - 19 PHI,17,8,0.92,0.5,0.75,0.56,0.19,0.44,0.92,20,19,0.487
Spiders,8/13/2021,SEA 16 - 20 SJ,22,15,0.91,0.47,0.72,0.54,0.32,0.39,0.83,16,20,0.556
Thunderbirds,8/13/2021,PIT 20 - 26 BOS,22,9,0.93,0.31,0.57,0.52,0.18,0.33,0.78,20,26,0.435
Aviators,8/14/2021,SD 21 - 17 LA,25,4,0.9,0.44,0.61,0.45,0.16,0.25,0.86,21,17,0.447
Empire,8/14/2021,PIT 16 - 20 NY,15,11,0.93,0.9,0.81,0.65,0.32,0.44,0.65,16,20,0.556
Flyers,8/14/2021,ATL 18 - 20 RAL,18,10,0.94,0.5,0.68,0.59,0.32,0.41,0.83,18,20,0.526
Growlers,8/14/2021,SD 21 - 17 LA,21,18,0.93,0.56,0.79,0.54,0.26,0.4,0.69,21,17,0.553
Hustle,8/14/2021,ATL 18 - 20 RAL,20,9,0.9,0.75,0.55,0.4,0.32,0.67,0.85,18,20,0.474
Mechanix,8/14/2021,MIN 24 - 15 DET,19,7,0.93,0.5,0.52,0.42,0.12,0.4,0.58,24,15,0.385
Royal,8/14/2021,MTL 20 - 19 TOR,18,8,0.93,0.63,0.71,0.56,0.19,0.33,0.91,20,19,0.513
Rush,8/14/2021,MTL 20 - 19 TOR,20,9,0.9,0.9,0.67,0.5,0.24,0.45,0.75,20,19,0.487
Thunderbirds,8/14/2021,PIT 16 - 20 NY,20,10,0.93,0.33,0.59,0.45,0.19,0.43,0.71,16,20,0.444
Wind Chill,8/14/2021,MIN 24 - 15 DET,12,7,0.95,0.58,0.88,0.75,0.36,0.56,0.88,24,15,0.615
AlleyCats,8/15/2021,MIN 23 - 19 IND,21,11,0.91,0.67,0.6,0.45,0.2,0.57,0.63,23,19,0.452
Outlaws,8/15/2021,OTT 21 - 23 TOR,21,10,0.9,0.68,0.64,0.52,0.23,0.45,1.0,21,23,0.477
Rush,8/15/2021,OTT 21 - 23 TOR,19,10,0.91,0.89,0.68,0.54,0.32,0.53,0.82,21,23,0.523
Wind Chill,8/15/2021,MIN 23 - 19 IND,16,12,0.95,0.5,0.75,0.65,0.32,0.47,1.0,23,19,0.548
Empire,8/20/2021,BOS 21 - 25 NY,8,10,0.97,0.77,0.78,0.69,0.26,0.88,0.84,21,25,0.543
Glory,8/20/2021,BOS 21 - 25 NY,12,6,0.94,0.67,0.7,0.68,0.09,0.4,0.87,21,25,0.457
Growlers,8/20/2021,SJ 21 - 24 SD,14,7,0.95,1.0,0.64,0.52,0.4,0.91,0.89,21,24,0.533
Spiders,8/20/2021,SJ 21 - 24 SD,16,8,0.94,0.88,0.6,0.58,0.27,0.55,0.74,21,24,0.533
Aviators,8/21/2021,SJ 20 - 21 LA,22,13,0.92,0.42,0.64,0.47,0.3,0.54,0.65,20,21,0.512
Breeze,8/21/2021,RAL 21 - 22 DC,16,9,0.95,0.62,0.71,0.63,0.23,0.45,0.84,21,22,0.512
Flyers,8/21/2021,RAL 21 - 22 DC,15,7,0.96,0.5,0.61,0.52,0.29,0.7,0.89,21,22,0.512
Glory,8/21/2021,BOS 22 - 19 PHI,16,8,0.94,0.67,0.8,0.57,0.25,0.55,0.83,22,19,0.537
Hustle,8/21/2021,ATL 26 - 25 PIT,15,11,0.94,0.67,0.71,0.69,0.21,0.46,0.73,26,25,0.51
Mechanix,8/21/2021,CHI 29 - 19 DET,26,8,0.91,0.56,0.55,0.45,0.1,0.2,0.63,29,19,0.396
Phoenix,8/21/2021,BOS 22 - 19 PHI,19,5,0.92,0.67,0.71,0.59,0.1,0.2,0.64,22,19,0.463
Royal,8/21/2021,TOR 23 - 25 MTL,17,13,0.93,0.81,0.67,0.55,0.33,0.69,0.94,23,25,0.521
Rush,8/21/2021,TOR 23 - 25 MTL,20,8,0.91,0.86,0.59,0.52,0.29,0.58,0.94,23,25,0.479
Spiders,8/21/2021,SJ 20 - 21 LA,23,4,0.92,1.0,0.61,0.5,0.27,0.4,0.79,20,21,0.512
Thunderbirds,8/21/2021,ATL 26 - 25 PIT,17,11,0.94,0.75,0.64,0.51,0.25,0.88,0.88,26,25,0.49
Union,8/21/2021,CHI 29 - 19 DET,18,16,0.92,0.62,0.86,0.62,0.35,0.61,0.83,29,19,0.604
Outlaws,8/22/2021,MTL 24 - 25 OTT,17,10,0.93,0.62,0.71,0.65,0.3,0.47,0.87,24,25,0.51
Radicals,8/22/2021,MAD 15 - 19 MIN,28,10,0.9,0.6,0.43,0.33,0.38,0.38,0.65,15,19,0.441
Royal,8/22/2021,MTL 24 - 25 OTT,20,6,0.9,0.7,0.67,0.5,0.25,0.67,0.86,24,25,0.49
Wind Chill,8/22/2021,MAD 15 - 19 MIN,23,13,0.92,0.7,0.63,0.38,0.43,0.56,0.79,15,19,0.559
Growlers,8/28/2021,DAL 18 - 22 SD,10,11,0.96,0.78,0.75,0.71,0.29,0.54,0.93,18,22,0.55
Legion,8/28/2021,DAL 18 - 22 SD,16,5,0.94,0.5,0.63,0.52,0.15,0.6,0.71,18,22,0.45
Outlaws,8/28/2021,OTT 13 - 22 TOR,29,13,0.85,0.6,0.48,0.32,0.13,0.25,0.62,13,22,0.371
Rush,8/28/2021,OTT 13 - 22 TOR,20,16,0.92,1.0,0.87,0.62,0.39,0.41,0.75,13,22,0.629
Breeze,8/29/2021,DC 28 - 16 TB,15,19,0.94,0.6,0.94,0.8,0.4,0.48,0.89,28,16,0.636
Cannons,8/29/2021,DC 28 - 16 TB,30,10,0.89,0.5,0.5,0.36,0.06,0.25,0.77,28,16,0.364
Empire,8/29/2021,NY 18 - 17 BOS,17,12,0.94,0.5,0.79,0.54,0.15,0.43,0.6,18,17,0.514
Glory,8/29/2021,NY 18 - 17 BOS,19,12,0.92,0.54,0.75,0.63,0.11,0.17,0.68,18,17,0.486
Royal,8/29/2021,MTL 25 - 18 TOR,20,13,0.91,0.63,0.89,0.57,0.3,0.5,0.84,25,18,0.581
Rush,8/29/2021,MTL 25 - 18 TOR,28,13,0.86,0.89,0.63,0.49,0.05,0.08,0.75,25,18,0.419
Union,8/29/2021,MIN 19 - 21 CHI,15,10,0.94,0.64,0.76,0.64,0.22,0.42,0.88,19,21,0.525
Wind Chill,8/29/2021,MIN 19 - 21 CHI,18,11,0.94,0.71,0.65,0.52,0.19,0.5,0.81,19,21,0.475
Breeze,9/3/2021,RAL 19 - 16 DC,15,4,0.95,0.54,0.62,0.57,0.18,0.38,0.73,19,16,0.457
Flyers,9/3/2021,RAL 19 - 16 DC,10,12,0.96,0.62,0.76,0.62,0.29,0.67,0.86,19,16,0.457
Empire,9/4/2021,ATL 21 - 22 NY,13,8,0.96,0.57,0.74,0.71,0.21,0.45,0.75,21,22,0.512
Hustle,9/4/2021,ATL 21 - 22 NY,12,4,0.95,0.71,0.67,0.57,0.22,0.71,0.67,21,22,0.488
Outlaws,9/4/2021,TOR 24 - 22 OTT,16,8,0.93,0.67,0.68,0.63,0.21,0.45,0.8,24,22,0.478
Rush,9/4/2021,TOR 24 - 22 OTT,14,9,0.93,1.0,0.71,0.57,0.28,0.7,0.78,24,22,0.522
Royal,9/9/2021,TOR 18 - 19 MTL,13,7,0.94,0.64,0.75,0.56,0.19,0.67,0.78,18,19,0.514
Rush,9/9/2021,TOR 18 - 19 MTL,15,9,0.94,1.0,0.67,0.64,0.2,0.36,0.87,18,19,0.486
Empire,9/10/2021,SD 18 - 22 NY,15,15,0.95,0.55,0.7,0.5,0.35,0.8,0.89,18,22,0.55
Flyers,9/10/2021,RAL 21 - 20 CHI,17,9,0.95,0.5,0.78,0.58,0.13,0.43,0.7,21,20,0.488
Growlers,9/10/2021,SD 18 - 22 NY,19,9,0.94,0.56,0.57,0.54,0.25,0.38,0.93,18,22,0.45
Union,9/10/2021,RAL 21 - 20 CHI,17,12,0.94,0.33,0.74,0.65,0.13,0.27,1.0,21,20,0.488
Empire,9/11/2021,RAL 19 - 16 NY,10,4,0.96,0.4,0.71,0.63,0.06,0.5,0.81,19,16,0.457
Flyers,9/11/2021,RAL 19 - 16 NY,7,5,0.98,0.71,0.83,0.79,0.19,0.5,0.93,19,16,0.457
Flyers,4/29/2022,ATL 14 - 16 CAR,10,7,0.95,0.55,0.69,0.61,0.22,0.5,0.92,14,16,0.533
Growlers,4/29/2022,SLC 24 - 22 SD,16,9,0.93,0.67,0.73,0.58,0.13,0.6,0.69,24,22,0.478
Hustle,4/29/2022,ATL 14 - 16 CAR,11,4,0.96,0.78,0.67,0.57,0.13,0.33,0.75,14,16,0.467
Shred,4/29/2022,SLC 24 - 22 SD,15,10,0.95,0.7,0.78,0.69,0.23,0.43,0.76,24,22,0.522
Aviators,4/30/2022,SLC 25 - 22 LA,21,8,0.91,0.58,0.64,0.52,0.21,0.45,0.92,25,22,0.468
Breeze,4/30/2022,NY 22 - 19 DC,10,5,0.96,1.0,0.65,0.6,0.15,0.75,0.76,22,19,0.463
Cannons,4/30/2022,TB 12 - 24 ATL,20,3,0.93,0.4,0.4,0.36,0.14,0.5,0.67,12,24,0.333
Empire,4/30/2022,NY 22 - 19 DC,8,6,0.97,0.86,0.85,0.81,0.22,0.56,0.94,22,19,0.537
Glory,4/30/2022,PHI 24 - 25 BOS,11,6,0.96,0.75,0.83,0.8,0.19,0.42,0.89,24,25,0.51
Hustle,4/30/2022,TB 12 - 24 ATL,7,12,0.97,1.0,0.71,0.63,0.56,0.78,0.89,12,24,0.667
Legion,4/30/2022,ATX 20 - 17 DAL,21,10,0.9,0.47,0.68,0.47,0.11,0.33,0.8,20,17,0.459
Mechanix,4/30/2022,PIT 17 - 13 DET,32,10,0.84,0.6,0.61,0.32,0.13,0.18,0.83,17,13,0.433
Phoenix,4/30/2022,PHI 24 - 25 BOS,13,10,0.96,0.92,0.78,0.64,0.13,0.75,0.87,24,25,0.49
Royal,4/30/2022,MTL 26 - 19 TOR,13,14,0.94,0.75,0.76,0.57,0.36,0.83,0.87,26,19,0.578
Rush,4/30/2022,MTL 26 - 19 TOR,19,10,0.92,0.6,0.57,0.55,0.1,0.2,0.69,26,19,0.422
Shred,4/30/2022,SLC 25 - 22 LA,18,9,0.95,0.71,0.75,0.6,0.28,0.5,0.71,25,22,0.532
Sol,4/30/2022,ATX 20 - 17 DAL,18,12,0.93,0.55,0.74,0.61,0.27,0.38,0.93,20,17,0.541
Thunderbirds,4/30/2022,PIT 17 - 13 DET,30,13,0.84,0.36,0.8,0.5,0.28,0.22,0.64,17,13,0.567
Cascades,5/1/2022,SEA 24 - 29 POR,20,13,0.94,0.59,0.71,0.61,0.08,0.25,0.81,24,29,0.453
Nitro,5/1/2022,SEA 24 - 29 POR,15,11,0.93,0.69,0.88,0.71,0.23,0.54,0.94,24,29,0.547
Thunderbirds,5/1/2022,PIT 8 - 19 CHI,39,14,0.84,0.27,0.38,0.21,0.0,0.0,0.4,8,19,0.296
Union,5/1/2022,PIT 8 - 19 CHI,28,13,0.88,0.25,0.8,0.44,0.52,0.37,0.67,8,19,0.704
Glory,5/6/2022,BOS 19 - 21 OTT,27,10,0.87,0.39,0.71,0.5,0.19,0.25,0.71,19,21,0.475
Outlaws,5/6/2022,BOS 19 - 21 OTT,26,12,0.9,0.8,0.71,0.45,0.29,0.4,0.73,19,21,0.525
AlleyCats,5/7/2022,DET 22 - 33 IND,10,17,0.96,0.9,0.92,0.79,0.31,0.69,1.0,22,33,0.6
Cannons,5/7/2022,CAR 19 - 13 TB,22,10,0.93,0.63,0.65,0.5,0.0,0.0,0.5,19,13,0.406
Cascades,5/7/2022,COL 19 - 16 SEA,30,15,0.88,0.42,0.67,0.41,0.12,0.17,0.67,19,16,0.457
Empire,5/7/2022,PHI 15 - 17 NY,22,14,0.91,0.45,0.82,0.61,0.17,0.19,0.8,15,17,0.531
Flyers,5/7/2022,CAR 19 - 13 TB,17,6,0.92,0.63,0.93,0.58,0.25,0.42,0.85,19,13,0.594
Glory,5/7/2022,BOS 17 - 21 MTL,27,15,0.88,0.5,0.57,0.37,0.21,0.36,0.68,17,21,0.447
Growlers,5/7/2022,SD 18 - 16 OAK,29,15,0.87,0.29,0.78,0.45,0.2,0.25,0.82,18,16,0.529
Mechanix,5/7/2022,DET 22 - 33 IND,23,4,0.93,0.67,0.6,0.53,0.04,0.2,0.83,22,33,0.4
Phoenix,5/7/2022,PHI 15 - 17 NY,23,11,0.92,0.45,0.72,0.43,0.12,0.25,0.7,15,17,0.469
Radicals,5/7/2022,PIT 16 - 18 MAD,20,14,0.91,0.47,0.67,0.44,0.3,0.5,0.77,16,18,0.529
Royal,5/7/2022,BOS 17 - 21 MTL,24,11,0.9,0.71,0.74,0.54,0.3,0.33,0.68,17,21,0.553
Spiders,5/7/2022,SD 18 - 16 OAK,31,11,0.87,0.38,0.65,0.42,0.17,0.19,0.77,18,16,0.471
Summit,5/7/2022,COL 19 - 16 SEA,25,13,0.91,0.5,0.82,0.54,0.24,0.28,0.73,19,16,0.543
Thunderbirds,5/7/2022,PIT 16 - 18 MAD,22,12,0.93,0.3,0.6,0.48,0.22,0.31,0.67,16,18,0.471
Union,5/7/2022,CHI 24 - 21 MIN,21,12,0.92,0.56,0.77,0.59,0.28,0.41,0.83,24,21,0.533
Wind Chill,5/7/2022,CHI 24 - 21 MIN,25,10,0.88,0.67,0.64,0.47,0.23,0.42,0.72,24,21,0.467
Nitro,5/8/2022,COL 24 - 23 POR,22,10,0.91,0.71,0.76,0.56,0.16,0.36,0.64,24,23,0.489
Summit,5/8/2022,COL 24 - 23 POR,22,14,0.94,0.5,0.72,0.56,0.24,0.4,0.72,24,23,0.511
Cascades,5/13/2022,SEA 21 - 32 SLC,27,8,0.9,0.6,0.56,0.48,0.09,0.25,0.7,21,32,0.396
Legion,5/13/2022,DAL 17 - 24 ATX,25,8,0.88,0.59,0.5,0.37,0.21,0.57,0.67,17,24,0.415
Phoenix,5/13/2022,MTL 18 - 17 PHI,23,14,0.92,0.6,0.61,0.41,0.32,0.5,0.69,18,17,0.486
Royal,5/13/2022,MTL 18 - 17 PHI,23,14,0.9,0.44,0.63,0.48,0.33,0.38,0.87,18,17,0.514
Shred,5/13/2022,SEA 21 - 32 SLC,14,12,0.96,0.75,0.87,0.71,0.35,0.67,0.88,21,32,0.604
Sol,5/13/2022,DAL 17 - 24 ATX,19,14,0.93,0.45,0.63,0.55,0.46,0.57,0.89,17,24,0.585
AlleyCats,5/14/2022,MAD 23 - 22 IND,15,5,0.95,0.69,0.67,0.53,0.25,0.86,0.89,23,22,0.489
Aviators,5/14/2022,LA 17 - 22 SD,27,2,0.9,0.5,0.63,0.41,0.11,0.29,0.56,17,22,0.436
Breeze,5/14/2022,MTL 17 - 27 DC,12,12,0.96,0.77,0.89,0.77,0.34,0.59,0.89,17,27,0.614
Cannons,5/14/2022,TB 18 - 24 CAR,19,4,0.93,0.59,0.54,0.47,0.2,0.57,0.75,18,24,0.429
Empire,5/14/2022,NY 23 - 19 BOS,13,10,0.96,0.6,0.81,0.68,0.24,0.5,0.83,23,19,0.548
Flyers,5/14/2022,TB 18 - 24 CAR,11,9,0.96,0.67,0.8,0.7,0.31,0.62,0.89,18,24,0.571
Glory,5/14/2022,NY 23 - 19 BOS,18,7,0.92,0.33,0.64,0.53,0.14,0.43,0.82,23,19,0.452
Growlers,5/14/2022,LA 17 - 22 SD,20,15,0.92,0.67,0.84,0.67,0.25,0.32,0.73,17,22,0.564
Legion,5/14/2022,MIN 20 - 14 DAL,27,10,0.9,0.59,0.41,0.3,0.31,0.42,0.6,20,14,0.412
Outlaws,5/14/2022,OTT 26 - 29 TOR,12,6,0.95,0.63,0.77,0.68,0.11,0.6,0.88,26,29,0.473
Radicals,5/14/2022,MAD 23 - 22 IND,15,6,0.95,0.46,0.67,0.64,0.29,0.5,0.78,23,22,0.511
Royal,5/14/2022,MTL 17 - 27 DC,20,8,0.92,0.5,0.55,0.47,0.05,0.25,0.75,17,27,0.386
Rush,5/14/2022,OTT 26 - 29 TOR,9,9,0.96,0.89,0.89,0.83,0.17,0.56,0.87,26,29,0.527
Wind Chill,5/14/2022,MIN 20 - 14 DAL,20,15,0.91,0.36,0.63,0.45,0.45,0.53,0.69,20,14,0.588
Flyers,5/20/2022,ATX 24 - 27 CAR,13,9,0.94,0.82,0.77,0.65,0.21,0.75,0.89,24,27,0.529
Glory,5/20/2022,TOR 13 - 23 BOS,11,9,0.95,0.79,0.8,0.63,0.44,0.69,0.87,13,23,0.639
Phoenix,5/20/2022,PHI 19 - 13 MTL,30,17,0.89,0.47,0.8,0.43,0.39,0.32,0.58,19,13,0.594
Royal,5/20/2022,PHI 19 - 13 MTL,34,11,0.86,0.29,0.61,0.34,0.13,0.13,0.64,19,13,0.406
Rush,5/20/2022,TOR 13 - 23 BOS,20,7,0.93,0.8,0.44,0.38,0.13,0.33,0.5,13,23,0.361
Sol,5/20/2022,ATX 24 - 27 CAR,17,5,0.94,0.56,0.66,0.61,0.19,0.45,0.94,24,27,0.471
AlleyCats,5/21/2022,IND 20 - 16 PIT,15,10,0.94,0.58,0.78,0.54,0.27,0.6,0.88,20,16,0.556
Cascades,5/21/2022,SEA 20 - 22 SD,24,16,0.9,0.93,0.71,0.52,0.14,0.27,0.71,20,22,0.476
Empire,5/21/2022,TOR 17 - 31 NY,10,17,0.96,0.88,0.79,0.75,0.5,0.7,0.82,17,31,0.646
Growlers,5/21/2022,SEA 20 - 22 SD,20,17,0.91,1.0,0.76,0.55,0.25,0.38,0.81,20,22,0.524
Hustle,5/21/2022,ATX 21 - 26 ATL,11,9,0.96,0.82,0.86,0.72,0.3,0.62,0.82,21,26,0.553
Mechanix,5/21/2022,MAD 27 - 18 DET,23,8,0.94,0.56,0.55,0.5,0.1,0.22,0.87,27,18,0.4
Nitro,5/21/2022,POR 26 - 22 OAK,18,13,0.93,0.77,0.78,0.67,0.3,0.44,0.79,26,22,0.542
Outlaws,5/21/2022,PHI 23 - 22 OTT,19,12,0.92,0.5,0.71,0.61,0.21,0.38,0.85,23,22,0.489
Phoenix,5/21/2022,PHI 23 - 22 OTT,20,11,0.92,0.73,0.71,0.53,0.25,0.55,0.67,23,22,0.511
Radicals,5/21/2022,MAD 27 - 18 DET,12,14,0.95,1.0,0.85,0.65,0.34,0.77,0.87,27,18,0.6
Rush,5/21/2022,TOR 17 - 31 NY,25,6,0.9,0.58,0.44,0.37,0.16,0.75,0.79,17,31,0.354
Sol,5/21/2022,ATX 21 - 26 ATL,17,4,0.94,0.72,0.7,0.59,0.1,0.33,0.82,21,26,0.447
Spiders,5/21/2022,POR 26 - 22 OAK,24,9,0.92,0.65,0.63,0.46,0.22,0.56,0.61,26,22,0.458
Thunderbirds,5/21/2022,IND 20 - 16 PIT,19,6,0.94,0.29,0.64,0.56,0.11,0.2,0.76,20,16,0.444
Aviators,5/22/2022,SEA 18 - 19 LA,15,6,0.94,0.5,0.85,0.68,0.1,0.22,0.83,18,19,0.514
Cascades,5/22/2022,SEA 18 - 19 LA,16,7,0.94,1.0,0.75,0.58,0.15,0.38,0.78,18,19,0.486
Empire,5/27/2022,NY 22 - 18 MTL,15,6,0.95,0.67,0.7,0.61,0.33,0.53,0.93,22,18,0.55
Royal,5/27/2022,NY 22 - 18 MTL,20,8,0.9,0.46,0.58,0.45,0.2,0.57,0.83,22,18,0.45
AlleyCats,5/28/2022,IND 23 - 19 DET,12,8,0.96,0.67,0.67,0.58,0.36,0.75,0.77,23,19,0.548
Breeze,5/28/2022,DC 27 - 26 TOR,9,5,0.97,0.62,0.75,0.68,0.21,1.0,0.93,27,26,0.509
Cannons,5/28/2022,PIT 24 - 19 TB,21,7,0.92,0.71,0.5,0.41,0.3,0.75,0.71,24,19,0.442
Cascades,5/28/2022,POR 18 - 26 SEA,22,13,0.91,0.47,0.65,0.5,0.46,0.59,1.0,18,26,0.591
Empire,5/28/2022,NY 30 - 18 OTT,15,14,0.95,0.75,0.85,0.85,0.38,0.5,0.86,30,18,0.625
Mechanix,5/28/2022,IND 23 - 19 DET,16,8,0.95,0.58,0.6,0.54,0.19,0.57,0.86,23,19,0.452
Nitro,5/28/2022,POR 18 - 26 SEA,29,12,0.88,0.56,0.46,0.36,0.25,0.42,0.73,18,26,0.409
Outlaws,5/28/2022,NY 30 - 18 OTT,26,10,0.87,0.44,0.5,0.37,0.1,0.67,0.56,30,18,0.375
Radicals,5/28/2022,MIN 19 - 16 MAD,18,6,0.93,0.46,0.62,0.54,0.17,0.3,0.71,19,16,0.457
Rush,5/28/2022,DC 27 - 26 TOR,11,4,0.96,0.8,0.76,0.76,0.14,0.5,0.8,27,26,0.491
Shred,5/28/2022,SLC 20 - 21 COL,22,11,0.92,0.41,0.68,0.54,0.23,0.36,0.79,20,21,0.488
Summit,5/28/2022,SLC 20 - 21 COL,20,13,0.91,0.5,0.68,0.52,0.27,0.46,0.69,20,21,0.512
Thunderbirds,5/28/2022,PIT 24 - 19 TB,15,9,0.94,0.71,0.7,0.64,0.38,0.59,0.86,24,19,0.558
Wind Chill,5/28/2022,MIN 19 - 16 MAD,15,11,0.95,0.38,0.67,0.48,0.33,0.7,0.79,19,16,0.543
Outlaws,6/1/2022,MTL 24 - 21 OTT,17,10,0.93,0.6,0.65,0.52,0.2,0.8,0.92,24,21,0.467
Royal,6/1/2022,MTL 24 - 21 OTT,13,9,0.95,0.53,0.8,0.76,0.27,0.47,0.82,24,21,0.533
Breeze,6/3/2022,BOS 20 - 25 DC,15,7,0.94,0.5,0.73,0.64,0.33,0.6,1.0,20,25,0.556
Flyers,6/3/2022,CAR 26 - 18 DAL,9,11,0.97,0.72,0.9,0.82,0.3,0.57,1.0,26,18,0.591
Glory,6/3/2022,BOS 20 - 25 DC,20,9,0.93,0.5,0.59,0.48,0.18,0.5,0.71,20,25,0.444
Legion,6/3/2022,CAR 26 - 18 DAL,18,5,0.93,0.7,0.67,0.55,0.0,0.0,0.86,26,18,0.409
Radicals,6/3/2022,MAD 20 - 19 PIT,17,12,0.94,0.45,0.67,0.56,0.27,0.5,0.81,20,19,0.513
Shred,6/3/2022,OAK 21 - 30 SLC,18,11,0.92,0.5,0.83,0.61,0.35,0.65,0.96,21,30,0.588
Spiders,6/3/2022,OAK 21 - 30 SLC,27,7,0.9,0.43,0.55,0.46,0.17,0.33,0.82,21,30,0.412
Thunderbirds,6/3/2022,MAD 20 - 19 PIT,16,9,0.95,0.75,0.68,0.54,0.19,0.5,0.73,20,19,0.487
AlleyCats,6/4/2022,IND 13 - 28 MIN,28,5,0.91,0.75,0.4,0.36,0.07,0.14,0.89,13,28,0.317
Aviators,6/4/2022,LA 21 - 20 POR,16,6,0.94,0.57,0.67,0.48,0.26,0.75,0.8,21,20,0.512
Cannons,6/4/2022,ATL 18 - 16 TB,29,10,0.89,0.67,0.65,0.37,0.17,0.27,0.78,18,16,0.471
Empire,6/4/2022,NY 25 - 8 TOR,14,13,0.95,0.64,1.0,0.83,0.58,0.56,0.89,25,8,0.758
Flyers,6/4/2022,CAR 20 - 21 ATX,10,6,0.96,0.75,0.74,0.71,0.14,0.5,0.86,20,21,0.488
Glory,6/4/2022,BOS 22 - 24 PHI,21,9,0.92,0.5,0.68,0.52,0.21,0.5,0.83,22,24,0.478
Hustle,6/4/2022,ATL 18 - 16 TB,26,23,0.87,0.54,0.72,0.5,0.2,0.22,0.81,18,16,0.529
Mechanix,6/4/2022,CHI 28 - 20 DET,28,11,0.9,0.45,0.6,0.46,0.09,0.22,0.87,28,20,0.417
Nitro,6/4/2022,LA 21 - 20 POR,17,9,0.92,0.72,0.7,0.64,0.19,0.29,0.92,21,20,0.488
Phoenix,6/4/2022,BOS 22 - 24 PHI,19,11,0.93,0.56,0.75,0.62,0.24,0.4,0.89,22,24,0.522
Rush,6/4/2022,NY 25 - 8 TOR,28,6,0.89,0.38,0.31,0.22,0.0,0.0,0.43,25,8,0.242
Sol,6/4/2022,CAR 20 - 21 ATX,9,5,0.96,0.92,0.81,0.71,0.17,0.67,1.0,20,21,0.512
Spiders,6/4/2022,OAK 16 - 22 COL,23,8,0.92,0.56,0.58,0.47,0.12,0.2,0.71,16,22,0.421
Summit,6/4/2022,OAK 16 - 22 COL,17,14,0.91,0.63,0.76,0.54,0.38,0.56,0.62,16,22,0.579
Union,6/4/2022,CHI 28 - 20 DET,18,16,0.92,0.82,0.91,0.69,0.27,0.47,0.8,28,20,0.583
Wind Chill,6/4/2022,IND 13 - 28 MIN,12,18,0.96,0.75,0.8,0.6,0.55,0.76,0.78,13,28,0.683
Aviators,6/5/2022,LA 14 - 23 SEA,31,8,0.89,0.25,0.54,0.42,0.06,0.07,0.69,14,23,0.378
Cascades,6/5/2022,LA 14 - 23 SEA,21,20,0.91,0.67,0.81,0.46,0.42,0.59,0.77,14,23,0.622
Aviators,6/10/2022,POR 16 - 17 LA,23,14,0.93,0.54,0.67,0.43,0.26,0.38,0.64,16,17,0.515
Breeze,6/10/2022,DC 21 - 25 NY,15,7,0.94,0.57,0.63,0.57,0.17,0.57,0.89,21,25,0.457
Empire,6/10/2022,DC 21 - 25 NY,11,9,0.96,0.56,0.74,0.68,0.3,0.67,0.94,21,25,0.543
Nitro,6/10/2022,POR 16 - 17 LA,23,13,0.9,0.11,0.68,0.5,0.17,0.23,0.75,16,17,0.485
Radicals,6/10/2022,MAD 21 - 22 CHI,18,7,0.94,0.45,0.71,0.5,0.17,0.8,0.82,21,22,0.488
Shred,6/10/2022,COL 25 - 20 SLC,20,7,0.93,0.71,0.56,0.48,0.23,0.56,0.6,25,20,0.444
Summit,6/10/2022,COL 25 - 20 SLC,14,8,0.94,0.89,0.64,0.56,0.41,0.73,0.65,25,20,0.556
Union,6/10/2022,MAD 21 - 22 CHI,15,10,0.94,0.7,0.83,0.79,0.13,0.23,0.78,21,22,0.512
AlleyCats,6/11/2022,DET 18 - 32 IND,7,13,0.98,0.8,0.89,0.77,0.45,0.88,0.84,18,32,0.64
Cannons,6/11/2022,TB 18 - 23 ATL,23,3,0.92,0.52,0.52,0.45,0.25,0.42,0.77,18,23,0.439
Flyers,6/11/2022,DAL 15 - 23 CAR,15,11,0.94,0.57,0.94,0.64,0.28,0.5,0.89,15,23,0.605
Growlers,6/11/2022,POR 18 - 20 SD,17,12,0.94,1.0,0.7,0.58,0.27,0.43,0.87,18,20,0.526
Hustle,6/11/2022,TB 18 - 23 ATL,16,13,0.93,1.0,0.6,0.48,0.44,0.73,0.73,18,23,0.561
Legion,6/11/2022,DAL 15 - 23 CAR,24,6,0.91,0.47,0.56,0.45,0.06,0.13,0.8,15,23,0.395
Mechanix,6/11/2022,DET 18 - 32 IND,21,2,0.92,0.73,0.48,0.46,0.11,0.4,0.6,18,32,0.36
Nitro,6/11/2022,POR 18 - 20 SD,19,11,0.93,0.54,0.64,0.48,0.2,0.4,0.88,18,20,0.474
Royal,6/11/2022,TOR 21 - 20 MTL,17,6,0.92,0.6,0.73,0.62,0.19,0.36,0.74,21,20,0.488
Rush,6/11/2022,TOR 21 - 20 MTL,15,14,0.95,0.82,0.71,0.56,0.27,0.6,0.7,21,20,0.512
