Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Wind Chill,6/18/2021,MAD 19 - 25 MIN,16,13,0.95,0.6,0.81,0.65,0.31,0.5,0.89,19,25,0.568
Aviators,6/19/2021,LA 20 - 22 AUS,28,6,0.89,0.86,0.64,0.48,0.19,0.25,0.38,20,22,0.476
Cannons,6/19/2021,ATL 24 - 13 TB,33,6,0.89,0.38,0.4,0.26,0.2,0.43,0.73,24,13,0.351
Flyers,6/19/2021,BOS 24 - 27 RAL,14,12,0.95,0.75,0.83,0.77,0.24,0.47,0.95,24,27,0.529
Glory,6/19/2021,BOS 24 - 27 RAL,18,8,0.93,0.55,0.72,0.57,0.13,0.6,0.82,24,27,0.471
Hustle,6/19/2021,ATL 24 - 13 TB,21,14,0.91,0.63,0.73,0.58,0.52,0.48,0.75,24,13,0.649
Mechanix,6/19/2021,CHI 30 - 13 DET,29,6,0.9,0.64,0.41,0.3,0.0,0.0,0.57,30,13,0.302
Phoenix,6/19/2021,PIT 18 - 27 PHI,20,15,0.93,0.78,0.9,0.72,0.32,0.39,0.74,18,27,0.6
Sol,6/19/2021,LA 20 - 22 AUS,25,18,0.93,0.33,0.76,0.48,0.25,0.43,0.6,20,22,0.524
Thunderbirds,6/19/2021,PIT 18 - 27 PHI,29,11,0.87,0.57,0.61,0.41,0.05,0.17,0.75,18,27,0.4
Union,6/19/2021,CHI 30 - 13 DET,11,18,0.96,0.5,0.93,0.88,0.5,0.59,0.9,30,13,0.698
AlleyCats,6/20/2021,IND 20 - 24 MAD,24,12,0.93,0.42,0.48,0.44,0.32,0.44,0.78,20,24,0.455
Cascades,6/20/2021,SD 18 - 16 SEA,30,12,0.89,0.6,0.6,0.34,0.22,0.36,0.69,18,16,0.471
Growlers,6/20/2021,SD 18 - 16 SEA,28,15,0.9,0.47,0.67,0.48,0.3,0.26,0.6,18,16,0.529
Radicals,6/20/2021,IND 20 - 24 MAD,20,12,0.93,0.55,0.59,0.42,0.44,0.79,0.82,20,24,0.545
Aviators,6/25/2021,DAL 21 - 16 LA,22,7,0.9,0.5,0.52,0.41,0.22,0.44,0.65,21,16,0.432
Cannons,6/25/2021,TB 17 - 24 BOS,27,13,0.88,0.42,0.52,0.37,0.21,0.44,0.69,17,24,0.415
Cascades,6/25/2021,AUS 24 - 28 SEA,18,11,0.93,0.63,0.73,0.56,0.3,0.69,0.84,24,28,0.538
Flyers,6/25/2021,PHI 11 - 23 RAL,18,13,0.92,0.46,0.75,0.64,0.56,0.52,0.77,11,23,0.676
Glory,6/25/2021,TB 17 - 24 BOS,19,18,0.93,0.42,0.79,0.63,0.36,0.45,0.83,17,24,0.585
