Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Cascades,6/12/2021,SEA 19 - 20 SJ,89% (221/249),59% (10/17),41% (9/22),31% (9/29),48% (10/21),50% (10/20),69% (9/13),28,16,0.89,0.59,0.41,0.31,0.48,0.50,0.69,19,20,0.487
Flyers,6/12/2021,DC 25 - 24 RAL,95% (239/251),40% (4/10),73% (19/26),66% (19/29),19% (5/26),71% (5/7),95% (20/21),12,6,0.95,0.40,0.73,0.66,0.19,0.71,0.95,25,24,0.49
Legion,6/12/2021,DAL 23 - 24 AUS,92% (200/218),75% (9/12),65% (17/26),57% (17/30),25% (6/24),55% (6/11),75% (12/16),18,10,0.92,0.75,0.65,0.57,0.25,0.55,0.75,23,24,0.489
Mechanix,6/12/2021,DET 16 - 28 IND,91% (269/294),53% (9/17),47% (14/30),36% (14/39),11% (2/18),50% (2/4),69% (9/13),25,5,0.91,0.53,0.47,0.36,0.11,0.50,0.69,16,28,0.364
Sol,6/12/2021,DAL 23 - 24 AUS,94% (226/241),73% (8/11),60% (15/25),50% (15/30),35% (9/26),69% (9/13),76% (13/17),15,10,0.94,0.73,0.60,0.50,0.35,0.69,0.76,23,24,0.511
Spiders,6/12/2021,SEA 19 - 20 SJ,90% (253/280),64% (9/14),43% (9/21),31% (9/29),50% (11/22),61% (11/18),69% (11/16),27,12,0.90,0.64,0.43,0.31,0.50,0.61,0.69,19,20,0.513
Thunderbirds,6/12/2021,PIT 15 - 18 TB,86% (180/210),50% (5/10),55% (11/20),35% (11/31),24% (4/17),29% (4/14),80% (4/5),30,16,0.86,0.50,0.55,0.35,0.24,0.29,0.80,15,18,0.455
Union,6/12/2021,MIN 18 - 23 CHI,96% (210/219),86% (6/7),79% (15/19),71% (15/21),32% (8/25),73% (8/11),100% (14/14),9,5,0.96,0.86,0.79,0.71,0.32,0.73,1.00,18,23,0.561
Wind Chill,6/12/2021,MIN 18 - 23 CHI,96% (325/340),71% (5/7),60% (15/25),54% (15/28),16% (3/19),50% (3/6),75% (15/20),15,7,0.96,0.71,0.60,0.54,0.16,0.50,0.75,18,23,0.439
Aviators,6/13/2021,LA 20 - 18 SD,93% (227/245),73% (8/11),75% (15/20),48% (15/31),24% (5/21),56% (5/9),80% (8/10),18,5,0.93,0.73,0.75,0.48,0.24,0.56,0.80,20,18,0.526
Growlers,6/13/2021,LA 20 - 18 SD,91% (213/234),54% (7/13),62% (13/21),57% (13/23),20% (4/20),27% (4/15),65% (11/17),21,12,0.91,0.54,0.62,0.57,0.20,0.27,0.65,20,18,0.474
Aviators,6/18/2021,LA 12 - 20 DAL,87% (208/238),44% (4/9),48% (10/21),30% (10/33),13% (2/16),22% (2/9),64% (7/11),30,7,0.87,0.44,0.48,0.30,0.13,0.22,0.64,12,20,0.375
Breeze,6/18/2021,BOS 20 - 32 DC,98% (293/300),79% (11/14),95% (20/21),80% (20/25),35% (12/34),86% (12/14),100% (22/22),7,12,0.98,0.79,0.95,0.80,0.35,0.86,1.00,20,32,0.615
Empire,6/18/2021,NY 24 - 19 PIT,89% (181/204),47% (8/17),76% (16/21),55% (16/29),32% (8/25),44% (8/18),78% (14/18),23,10,0.89,0.47,0.76,0.55,0.32,0.44,0.78,24,19,0.558
Glory,6/18/2021,BOS 20 - 32 DC,93% (255/274),60% (9/15),59% (20/34),56% (20/36),0% (0/21),0% (0/4),71% (10/14),19,3,0.93,0.60,0.59,0.56,0.00,0.00,0.71,20,32,0.385
Growlers,6/18/2021,SD 23 - 16 SJ,93% (247/266),57% (8/14),88% (15/17),65% (15/23),32% (8/25),38% (8/21),77% (10/13),19,9,0.93,0.57,0.88,0.65,0.32,0.38,0.77,23,16,0.59
Legion,6/18/2021,LA 12 - 20 DAL,93% (272/293),60% (6/10),71% (10/14),50% (10/20),48% (10/21),45% (10/22),71% (15/21),21,16,0.93,0.60,0.71,0.50,0.48,0.45,0.71,12,20,0.625
Radicals,6/18/2021,MAD 19 - 25 MIN,92% (241/263),67% (10/15),58% (15/26),45% (15/33),19% (4/21),44% (4/9),60% (9/15),22,8,0.92,0.67,0.58,0.45,0.19,0.44,0.60,19,25,0.432
Spiders,6/18/2021,SD 23 - 16 SJ,90% (247/274),50% (5/10),60% (15/25),42% (15/36),6% (1/17),14% (1/7),69% (11/16),27,10,0.90,0.50,0.60,0.42,0.06,0.14,0.69,23,16,0.41
