Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Sol,7/10/2021,AUS 20 - 21 DAL,90% (247/274),58% (7/12),63% (15/24),42% (15/36),23% (5/22),45% (5/11),52% (12/23),27,9,0.90,0.58,0.63,0.42,0.23,0.45,0.52,20,21,0.512
Union,7/10/2021,CHI 16 - 19 MAD,94% (270/288),67% (4/6),62% (13/21),50% (13/26),17% (3/18),33% (3/9),64% (9/14),18,10,0.94,0.67,0.62,0.50,0.17,0.33,0.64,16,19,0.457
Wind Chill,7/10/2021,MIN 25 - 18 IND,98% (393/400),80% (4/5),85% (17/20),85% (17/20),27% (7/26),58% (7/12),83% (20/24),7,7,0.98,0.80,0.85,0.85,0.27,0.58,0.83,25,18,0.581
Union,7/11/2021,MIN 20 - 18 CHI,93% (236/253),44% (4/9),65% (13/20),59% (13/22),25% (5/20),38% (5/13),94% (17/18),17,11,0.93,0.44,0.65,0.59,0.25,0.38,0.94,20,18,0.474
Wind Chill,7/11/2021,MIN 20 - 18 CHI,96% (334/349),100% (7/7),75% (15/20),54% (15/28),25% (5/20),71% (5/7),83% (15/18),15,9,0.96,1.00,0.75,0.54,0.25,0.71,0.83,20,18,0.526
Cascades,7/16/2021,DAL 18 - 22 SEA,93% (189/203),65% (11/17),75% (15/20),63% (15/24),29% (7/24),58% (7/12),89% (16/18),14,6,0.93,0.65,0.75,0.63,0.29,0.58,0.89,18,22,0.55
Hustle,7/16/2021,ATL 20 - 15 PHI,93% (214/230),50% (5/10),82% (14/17),58% (14/24),27% (6/22),43% (6/14),63% (10/16),16,12,0.93,0.50,0.82,0.58,0.27,0.43,0.63,20,15,0.571
Legion,7/16/2021,DAL 18 - 22 SEA,95% (312/329),29% (2/7),63% (15/24),52% (15/29),15% (3/20),43% (3/7),88% (14/16),17,10,0.95,0.29,0.63,0.52,0.15,0.43,0.88,18,22,0.45
Phoenix,7/16/2021,ATL 20 - 15 PHI,92% (263/285),57% (8/14),67% (14/21),48% (14/29),6% (1/17),11% (1/9),86% (6/7),22,7,0.92,0.57,0.67,0.48,0.06,0.11,0.86,20,15,0.429
AlleyCats,7/17/2021,IND 16 - 17 MAD,93% (235/253),62% (8/13),53% (10/19),42% (10/24),28% (5/18),56% (5/9),67% (6/9),18,11,0.93,0.62,0.53,0.42,0.28,0.56,0.67,16,17,0.485
Aviators,7/17/2021,AUS 21 - 20 LA,88% (182/208),60% (6/10),61% (14/23),50% (14/28),27% (6/22),33% (6/18),60% (9/15),26,13,0.88,0.60,0.61,0.50,0.27,0.33,0.60,21,20,0.488
Breeze,7/17/2021,ATL 17 - 13 DC,95% (419/439),29% (2/7),37% (7/19),27% (7/26),33% (5/15),71% (5/7),70% (7/10),20,10,0.95,0.29,0.37,0.27,0.33,0.71,0.70,17,13,0.433
Flyers,7/17/2021,RAL 27 - 16 PIT,93% (227/243),58% (11/19),94% (17/18),71% (17/24),37% (10/27),53% (10/19),90% (19/21),16,14,0.93,0.58,0.94,0.71,0.37,0.53,0.90,27,16,0.372
Hustle,7/17/2021,ATL 17 - 13 DC,92% (169/184),88% (7/8),60% (9/15),53% (9/17),42% (8/19),47% (8/17),100% (10/10),15,11,0.92,0.88,0.60,0.53,0.42,0.47,1.00,17,13,0.567
Legion,7/17/2021,DAL 23 - 20 SJ,97% (375/387),55% (6/11),81% (17/21),71% (17/24),24% (6/25),50% (6/12),86% (18/21),12,9,0.97,0.55,0.81,0.71,0.24,0.50,0.86,23,20,0.535
Mechanix,7/17/2021,DET 12 - 25 MIN,91% (286/316),42% (5/12),37% (10/27),26% (10/38),15% (2/13),29% (2/7),54% (7/13),30,6,0.91,0.42,0.37,0.26,0.15,0.29,0.54,12,25,0.324
Radicals,7/17/2021,IND 16 - 17 MAD,95% (342/359),0% (0/5),50% (9/18),41% (9/22),42% (8/19),57% (8/14),81% (13/16),17,10,0.95,0.00,0.50,0.41,0.42,0.57,0.81,16,17,0.515
Sol,7/17/2021,AUS 21 - 20 LA,92% (294/319),60% (6/10),59% (13/22),39% (13/33),35% (8/23),57% (8/14),67% (14/21),25,8,0.92,0.60,0.59,0.39,0.35,0.57,0.67,21,20,0.488
Spiders,7/17/2021,DAL 23 - 20 SJ,91% (151/166),75% (12/16),71% (17/24),59% (17/29),14% (3/21),50% (3/6),82% (9/11),15,3,0.91,0.75,0.71,0.59,0.14,0.50,0.82,23,20,0.465
Thunderbirds,7/17/2021,RAL 27 - 16 PIT,91% (274/301),67% (6/9),54% (15/28),41% (15/37),6% (1/17),17% (1/6),71% (10/14),27,7,0.91,0.67,0.54,0.41,0.06,0.17,0.71,27,16,0.372
Wind Chill,7/17/2021,DET 12 - 25 MIN,92% (207/225),77% (10/13),85% (11/13),61% (11/18),52% (14/27),56% (14/25),75% (15/20),18,19,0.92,0.77,0.85,0.61,0.52,0.56,0.75,12,25,0.676
AlleyCats,7/18/2021,IND 18 - 24 CHI,95% (297/314),38% (5/13),58% (15/26),52% (15/29),15% (3/20),43% (3/7),93% (13/14),17,4,0.95,0.38,0.58,0.52,0.15,0.43,0.93,18,24,0.429
Growlers,7/18/2021,AUS 20 - 21 SD,86% (156/181),100% (6/6),67% (14/21),42% (14/33),30% (7/23),50% (7/14),74% (14/19),25,10,0.86,1.00,0.67,0.42,0.30,0.50,0.74,20,21,0.512
Sol,7/18/2021,AUS 20 - 21 SD,91% (267/294),47% (8/17),61% (14/23),48% (14/29),29% (6/21),33% (6/18),74% (14/19),27,17,0.91,0.47,0.61,0.48,0.29,0.33,0.74,20,21,0.512
Union,7/18/2021,IND 18 - 24 CHI,97% (284/293),63% (5/8),75% (15/20),68% (15/22),35% (9/26),75% (9/12),86% (18/21),9,8,0.97,0.63,0.75,0.68,0.35,0.75,0.86,18,24,0.571
Aviators,7/23/2021,LA 21 - 16 SEA,94% (254/269),64% (7/11),82% (14/17),61% (14/23),30% (7/23),47% (7/15),88% (15/17),15,13,0.94,0.64,0.82,0.61,0.30,0.47,0.88,21,16,0.568
Cascades,7/23/2021,LA 21 - 16 SEA,92% (270/292),36% (4/11),61% (14/23),47% (14/30),12% (2/17),25% (2/8),81% (13/16),22,9,0.92,0.36,0.61,0.47,0.12,0.25,0.81,21,16,0.432
Growlers,7/23/2021,SD 15 - 19 DAL,89% (151/170),31% (4/13),57% (12/21),43% (12/28),18% (3/17),43% (3/7),86% (6/7),19,3,0.89,0.31,0.57,0.43,0.18,0.43,0.86,15,19,0.441
Legion,7/23/2021,SD 15 - 19 DAL,95% (306/322),42% (5/12),76% (13/17),65% (13/20),29% (6/21),40% (6/15),88% (14/16),16,11,0.95,0.42,0.76,0.65,0.29,0.40,0.88,15,19,0.559
AlleyCats,7/24/2021,IND 18 - 13 DET,86% (173/202),100% (6/6),80% (12/15),44% (12/27),30% (6/20),27% (6/22),80% (12/15),29,16,0.86,1.00,0.80,0.44,0.30,0.27,0.80,18,13,0.581
Aviators,7/24/2021,LA 20 - 18 SJ,93% (249/267),67% (4/6),70% (14/20),58% (14/24),27% (6/22),40% (6/15),78% (14/18),18,10,0.93,0.67,0.70,0.58,0.27,0.40,0.78,20,18,0.526
Cannons,7/24/2021,BOS 26 - 23 TB,91% (209/229),64% (9/14),71% (20/28),59% (20/34),12% (3/25),33% (3/9),92% (11/12),20,9,0.91,0.64,0.71,0.59,0.12,0.33,0.92,26,23,0.469
Empire,7/24/2021,NY 21 - 22 ATL,95% (342/359),55% (6/11),71% (17/24),57% (17/30),18% (4/22),50% (4/8),84% (16/19),17,10,0.95,0.55,0.71,0.57,0.18,0.50,0.84,21,22,0.488
Glory,7/24/2021,BOS 26 - 23 TB,93% (244/261),46% (6/13),80% (20/25),65% (20/31),21% (6/28),46% (6/13),80% (16/20),17,11,0.93,0.46,0.80,0.65,0.21,0.46,0.80,26,23,0.531
Growlers,7/24/2021,SD 21 - 17 AUS,92% (214/233),88% (7/8),63% (12/19),48% (12/25),39% (9/23),56% (9/16),80% (8/10),19,15,0.92,0.88,0.63,0.48,0.39,0.56,0.80,21,17,0.553
Hustle,7/24/2021,NY 21 - 22 ATL,93% (196/210),69% (9/13),73% (16/22),64% (16/25),25% (6/24),50% (6/12),64% (7/11),14,9,0.93,0.69,0.73,0.64,0.25,0.50,0.64,21,22,0.512
Mechanix,7/24/2021,IND 18 - 13 DET,87% (220/254),50% (5/10),55% (11/20),32% (11/34),13% (2/15),13% (2/15),62% (8/13),34,16,0.87,0.50,0.55,0.32,0.13,0.13,0.62,18,13,0.419
Outlaws,7/24/2021,TOR 24 - 27 OTT,94% (223/238),100% (15/15),88% (22/25),69% (22/32),18% (5/28),50% (5/10),80% (12/15),15,7,0.94,1.00,0.88,0.69,0.18,0.50,0.80,24,27,0.529
Rush,7/24/2021,TOR 24 - 27 OTT,92% (224/243),62% (8/13),75% (21/28),64% (21/33),12% (3/25),30% (3/10),84% (16/19),19,7,0.92,0.62,0.75,0.64,0.12,0.30,0.84,24,27,0.471
Sol,7/24/2021,SD 21 - 17 AUS,93% (306/330),50% (7/14),52% (12/23),41% (12/29),26% (5/19),42% (5/12),61% (11/18),24,10,0.93,0.50,0.52,0.41,0.26,0.42,0.61,21,17,0.447
Spiders,7/24/2021,LA 20 - 18 SJ,88% (172/196),72% (13/18),59% (13/22),41% (13/32),25% (5/20),45% (5/11),75% (6/8),24,14,0.88,0.72,0.59,0.41,0.25,0.45,0.75,20,18,0.474
Union,7/24/2021,CHI 20 - 16 MIN,91% (211/231),58% (7/12),82% (14/17),64% (14/22),27% (6/22),33% (6/18),85% (17/20),20,8,0.91,0.58,0.82,0.64,0.27,0.33,0.85,20,16,0.556
Wind Chill,7/24/2021,CHI 20 - 16 MIN,92% (259/282),77% (10/13),68% (15/22),45% (15/33),6% (1/17),17% (1/6),64% (9/14),23,13,0.92,0.77,0.68,0.45,0.06,0.17,0.64,20,16,0.444
Outlaws,7/25/2021,OTT 26 - 19 MTL,93% (242/261),85% (11/13),100% (21/21),68% (21/31),19% (5/26),33% (5/15),88% (7/8),19,15,0.93,0.85,1.00,0.68,0.19,0.33,0.88,26,19,0.578
Royal,7/25/2021,OTT 26 - 19 MTL,90% (225/250),60% (6/10),73% (19/26),56% (19/34),0% (0/21),0% (0/10),64% (16/25),25,8,0.90,0.60,0.73,0.56,0.00,0.00,0.64,26,19,0.422
Flyers,7/30/2021,PIT 17 - 20 RAL,94% (208/222),86% (12/14),84% (16/19),67% (16/24),18% (4/22),36% (4/11),77% (10/13),14,8,0.94,0.86,0.84,0.67,0.18,0.36,0.77,17,20,0.541
Radicals,7/30/2021,CHI 23 - 18 MAD,95% (310/326),0% (0/4),64% (16/25),53% (16/30),10% (2/20),50% (2/4),81% (17/21),16,8,0.95,0.00,0.64,0.53,0.10,0.50,0.81,23,18,0.439
Thunderbirds,7/30/2021,PIT 17 - 20 RAL,94% (269/286),50% (5/10),73% (16/22),55% (16/29),5% (1/19),17% (1/6),77% (10/13),17,7,0.94,0.50,0.73,0.55,0.05,0.17,0.77,17,20,0.459
Union,7/30/2021,CHI 23 - 18 MAD,96% (272/282),86% (6/7),85% (17/20),77% (17/22),24% (6/25),55% (6/11),89% (16/18),10,7,0.96,0.86,0.85,0.77,0.24,0.55,0.89,23,18,0.561
AlleyCats,7/31/2021,IND 16 - 17 MIN,90% (246/273),54% (7/13),68% (13/19),43% (13/30),17% (3/18),23% (3/13),50% (6/12),27,14,0.90,0.54,0.68,0.43,0.17,0.23,0.50,16,17,0.485
Breeze,7/31/2021,PHI 12 - 22 DC,97% (388/398),56% (5/9),100% (14/14),78% (14/18),35% (8/23),53% (8/15),75% (15/20),10,13,0.97,0.56,1.00,0.78,0.35,0.53,0.75,12,22,0.647
Cannons,7/31/2021,NY 25 - 18 TB,93% (240/259),64% (7/11),56% (15/27),48% (15/31),16% (3/19),43% (3/7),88% (14/16),19,4,0.93,0.64,0.56,0.48,0.16,0.43,0.88,25,18,0.419
Cascades,7/31/2021,SEA 20 - 21 SD,94% (282/301),50% (5/10),77% (17/22),57% (17/30),14% (3/22),33% (3/9),88% (14/16),19,11,0.94,0.50,0.77,0.57,0.14,0.33,0.88,20,21,0.488
Empire,7/31/2021,NY 25 - 18 TB,96% (255/267),80% (8/10),79% (15/19),65% (15/23),37% (10/27),67% (10/15),84% (16/19),12,11,0.96,0.80,0.79,0.65,0.37,0.67,0.84,25,18,0.581
Growlers,7/31/2021,SEA 20 - 21 SD,93% (250/268),80% (4/5),77% (17/22),61% (17/28),18% (4/22),33% (4/12),93% (13/14),18,9,0.93,0.80,0.77,0.61,0.18,0.33,0.93,20,21,0.512
Hustle,7/31/2021,PIT 22 - 27 ATL,97% (199/205),88% (14/16),87% (20/23),80% (20/25),24% (7/29),78% (7/9),100% (11/11),6,7,0.97,0.88,0.87,0.80,0.24,0.78,1.00,22,27,0.551
Mechanix,7/31/2021,MAD 23 - 15 DET,91% (235/259),55% (6/11),46% (11/24),35% (11/31),24% (4/17),44% (4/9),75% (6/8),24,6,0.91,0.55,0.46,0.35,0.24,0.44,0.75,23,15,0.395
Phoenix,7/31/2021,PHI 12 - 22 DC,92% (244/265),58% (7/12),52% (12/23),41% (12/29),0% (0/14),0% (0/4),75% (6/8),21,4,0.92,0.58,0.52,0.41,0.00,0.00,0.75,12,22,0.353
Radicals,7/31/2021,MAD 23 - 15 DET,93% (241/258),77% (10/13),71% (12/17),55% (12/22),46% (11/24),58% (11/19),75% (15/20),17,14,0.93,0.77,0.71,0.55,0.46,0.58,0.75,23,15,0.605
Sol,7/31/2021,SJ 15 - 25 AUS,95% (285/301),38% (3/8),76% (13/17),65% (13/20),44% (12/27),55% (12/22),84% (21/25),16,19,0.95,0.38,0.76,0.65,0.44,0.55,0.84,15,25,0.625
Spiders,7/31/2021,SJ 15 - 25 AUS,88% (186/211),38% (5/13),48% (13/27),37% (13/35),12% (2/17),40% (2/5),75% (9/12),25,12,0.88,0.38,0.48,0.37,0.12,0.40,0.75,15,25,0.625
Thunderbirds,7/31/2021,PIT 22 - 27 ATL,96% (344/357),64% (7/11),69% (20/29),65% (20/31),9% (2/23),50% (2/4),88% (14/16),13,5,0.96,0.64,0.69,0.65,0.09,0.50,0.88,22,27,0.449
Wind Chill,7/31/2021,IND 16 - 17 MIN,92% (271/296),27% (4/15),72% (13/18),48% (13/27),21% (4/19),27% (4/15),79% (15/19),25,8,0.92,0.27,0.72,0.48,0.21,0.27,0.79,16,17,0.515
Aviators,8/1/2021,SEA 15 - 20 LA,90% (228/254),64% (7/11),59% (10/17),37% (10/27),50% (10/20),48% (10/21),84% (16/19),26,17,0.90,0.64,0.59,0.37,0.50,0.48,0.84,15,20,0.571
Cascades,8/1/2021,SEA 15 - 20 LA,89% (243/274),36% (5/14),50% (10/20),32% (10/31),29% (5/17),33% (5/15),63% (10/16),31,9,0.89,0.36,0.50,0.32,0.29,0.33,0.63,15,20,0.429
Legion,8/1/2021,SJ 14 - 15 DAL,92% (270/292),50% (6/12),44% (7/16),30% (7/23),47% (8/17),53% (8/15),67% (8/12),22,12,0.92,0.50,0.44,0.30,0.47,0.53,0.67,14,15,0.517
Spiders,8/1/2021,SJ 14 - 15 DAL,89% (180/203),60% (6/10),53% (9/17),38% (9/24),31% (5/16),38% (5/13),64% (9/14),23,13,0.89,0.60,0.53,0.38,0.31,0.38,0.64,14,15,0.517
Breeze,8/6/2021,DC 20 - 13 PHI,95% (358/378),27% (3/11),80% (12/15),50% (12/24),40% (8/20),50% (8/16),83% (15/18),20,10,0.95,0.27,0.80,0.50,0.40,0.50,0.83,20,13,0.606
Flyers,8/6/2021,RAL 19 - 18 BOS,95% (252/265),50% (5/10),70% (14/20),64% (14/22),24% (5/21),45% (5/11),84% (16/19),13,5,0.95,0.50,0.70,0.64,0.24,0.45,0.84,19,18,0.486
Glory,8/6/2021,RAL 19 - 18 BOS,95% (280/294),25% (1/4),67% (14/21),54% (14/26),20% (4/20),67% (4/6),94% (17/18),14,6,0.95,0.25,0.67,0.54,0.20,0.67,0.94,19,18,0.486
Phoenix,8/6/2021,DC 20 - 13 PHI,86% (166/192),42% (5/12),56% (10/18),36% (10/28),20% (3/15),25% (3/12),89% (8/9),26,11,0.86,0.42,0.56,0.36,0.20,0.25,0.89,20,13,0.394
Aviators,8/7/2021,LA 17 - 24 SD,93% (295/318),62% (8/13),65% (17/26),52% (17/33),0% (0/19),0% (0/7),50% (9/18),23,7,0.93,0.62,0.65,0.52,0.00,0.00,0.50,17,24,0.415
Cannons,8/7/2021,TB 21 - 20 ATL,95% (269/283),83% (10/12),86% (18/21),72% (18/25),13% (3/23),27% (3/11),87% (13/15),14,9,0.95,0.83,0.86,0.72,0.13,0.27,0.87,21,20,0.512
Cascades,8/7/2021,SJ 23 - 15 SEA,89% (236/264),33% (4/12),48% (12/25),38% (12/32),19% (3/16),27% (3/11),60% (9/15),28,10,0.89,0.33,0.48,0.38,0.19,0.27,0.60,23,15,0.395
Empire,8/7/2021,RAL 23 - 24 NY,94% (293/312),50% (5/10),69% (18/26),58% (18/31),23% (6/26),46% (6/13),75% (12/16),19,10,0.94,0.50,0.69,0.58,0.23,0.46,0.75,23,24,0.511
Flyers,8/7/2021,RAL 23 - 24 NY,94% (326/345),58% (7/12),73% (19/26),58% (19/33),15% (4/26),44% (4/9),67% (14/21),19,8,0.94,0.58,0.73,0.58,0.15,0.44,0.67,23,24,0.511
Growlers,8/7/2021,LA 17 - 24 SD,93% (228/244),100% (5/5),89% (17/19),65% (17/26),27% (7/26),50% (7/14),86% (18/21),16,16,0.93,1.00,0.89,0.65,0.27,0.50,0.86,17,24,0.585
Hustle,8/7/2021,TB 21 - 20 ATL,93% (207/222),67% (6/9),83% (19/23),61% (19/31),5% (1/21),17% (1/6),60% (6/10),15,7,0.93,0.67,0.83,0.61,0.05,0.17,0.60,21,20,0.488
Legion,8/7/2021,DAL 23 - 22 AUS,92% (212/231),59% (10/17),70% (16/23),53% (16/30),28% (7/25),54% (7/13),79% (11/14),19,10,0.92,0.59,0.70,0.53,0.28,0.54,0.79,23,22,0.511
Mechanix,8/7/2021,DET 16 - 20 CHI,91% (244/269),60% (6/10),59% (13/22),38% (13/34),17% (3/18),33% (3/9),75% (6/8),25,11,0.91,0.60,0.59,0.38,0.17,0.33,0.75,16,20,0.444
Royal,8/7/2021,TOR 16 - 18 MTL,94% (288/306),55% (6/11),72% (13/18),54% (13/24),25% (5/20),36% (5/14),93% (13/14),18,13,0.94,0.55,0.72,0.54,0.25,0.36,0.93,16,18,0.529
Rush,8/7/2021,TOR 16 - 18 MTL,90% (197/218),50% (6/12),65% (13/20),46% (13/28),17% (3/18),30% (3/10),79% (11/14),21,11,0.90,0.50,0.65,0.46,0.17,0.30,0.79,16,18,0.471
Sol,8/7/2021,DAL 23 - 22 AUS,91% (225/246),54% (7/13),68% (17/25),55% (17/31),22% (5/23),42% (5/12),95% (18/19),21,12,0.91,0.54,0.68,0.55,0.22,0.42,0.95,23,22,0.489
Spiders,8/7/2021,SJ 23 - 15 SEA,92% (227/246),44% (4/9),81% (13/16),57% (13/23),40% (10/25),53% (10/19),93% (13/14),19,11,0.92,0.44,0.81,0.57,0.40,0.53,0.93,23,15,0.395
Union,8/7/2021,DET 16 - 20 CHI,91% (226/249),58% (7/12),82% (14/17),58% (14/24),27% (6/22),32% (6/19),60% (12/20),23,13,0.91,0.58,0.82,0.58,0.27,0.32,0.60,16,20,0.556
Breeze,8/8/2021,DC 25 - 16 PIT,93% (257/275),62% (8/13),65% (11/17),52% (11/21),54% (14/26),58% (14/24),79% (15/19),18,16,0.93,0.62,0.65,0.52,0.54,0.58,0.79,25,16,0.61
Outlaws,8/8/2021,MTL 22 - 18 OTT,87% (176/202),100% (8/8),63% (15/24),41% (15/37),15% (3/20),30% (3/10),79% (11/14),26,9,0.87,1.00,0.63,0.41,0.15,0.30,0.79,22,18,0.45
Royal,8/8/2021,MTL 22 - 18 OTT,92% (262/285),64% (9/14),75% (15/20),58% (15/26),29% (7/24),35% (7/20),86% (12/14),23,15,0.92,0.64,0.75,0.58,0.29,0.35,0.86,22,18,0.55
Thunderbirds,8/8/2021,DC 25 - 16 PIT,89% (218/246),70% (7/10),42% (11/26),31% (11/35),29% (5/17),56% (5/9),91% (10/11),28,11,0.89,0.70,0.42,0.31,0.29,0.56,0.91,25,16,0.39
Outlaws,8/12/2021,OTT 16 - 18 MTL,89% (177/198),80% (12/15),58% (11/19),46% (11/24),28% (5/18),36% (5/14),79% (11/14),21,10,0.89,0.80,0.58,0.46,0.28,0.36,0.79,16,18,0.471
Royal,8/12/2021,OTT 16 - 18 MTL,92% (242/262),54% (7/13),61% (11/18),42% (11/26),37% (7/19),54% (7/13),68% (13/19),20,15,0.92,0.54,0.61,0.42,0.37,0.54,0.68,16,18,0.529
Cascades,8/13/2021,SEA 16 - 20 SJ,91% (250/275),54% (7/13),59% (13/22),39% (13/33),17% (3/18),33% (3/9),90% (9/10),25,15,0.91,0.54,0.59,0.39,0.17,0.33,0.90,16,20,0.444
Empire,8/13/2021,NY 20 - 19 PHI,95% (281/297),67% (6/9),71% (15/21),60% (15/25),24% (5/21),42% (5/12),73% (16/22),16,8,0.95,0.67,0.71,0.60,0.24,0.42,0.73,20,19,0.513
Glory,8/13/2021,PIT 20 - 26 BOS,92% (197/213),75% (15/20),73% (16/22),55% (16/29),36% (10/28),77% (10/13),82% (14/17),16,14,0.92,0.75,0.73,0.55,0.36,0.77,0.82,20,26,0.565
Phoenix,8/13/2021,NY 20 - 19 PHI,92% (204/221),50% (7/14),75% (15/20),56% (15/27),19% (4/21),44% (4/9),92% (12/13),17,8,0.92,0.50,0.75,0.56,0.19,0.44,0.92,20,19,0.487
Spiders,8/13/2021,SEA 16 - 20 SJ,91% (234/256),47% (8/17),72% (13/18),54% (13/24),32% (7/22),39% (7/18),83% (10/12),22,15,0.91,0.47,0.72,0.54,0.32,0.39,0.83,16,20,0.556
Thunderbirds,8/13/2021,PIT 20 - 26 BOS,93% (288/310),31% (4/13),57% (16/28),52% (16/31),18% (4/22),33% (4/12),78% (14/18),22,9,0.93,0.31,0.57,0.52,0.18,0.33,0.78,20,26,0.435
Aviators,8/14/2021,SD 21 - 17 LA,90% (225/250),44% (4/9),61% (14/23),45% (14/31),16% (3/19),25% (3/12),86% (12/14),25,4,0.90,0.44,0.61,0.45,0.16,0.25,0.86,21,17,0.447
Empire,8/14/2021,PIT 16 - 20 NY,93% (197/212),90% (9/10),81% (13/16),65% (13/20),32% (7/22),44% (7/16),65% (13/20),15,11,0.93,0.90,0.81,0.65,0.32,0.44,0.65,16,20,0.556
Flyers,8/14/2021,ATL 18 - 20 RAL,94% (296/314),50% (5/10),68% (13/19),59% (13/22),32% (7/22),41% (7/17),83% (15/18),18,10,0.94,0.50,0.68,0.59,0.32,0.41,0.83,18,20,0.526
Growlers,8/14/2021,SD 21 - 17 LA,93% (259/280),56% (5/9),79% (15/19),54% (15/28),26% (6/23),40% (6/15),69% (9/13),21,18,0.93,0.56,0.79,0.54,0.26,0.40,0.69,21,17,0.553
Hustle,8/14/2021,ATL 18 - 20 RAL,90% (177/197),75% (6/8),55% (12/22),40% (12/30),32% (6/19),67% (6/9),85% (11/13),20,9,0.90,0.75,0.55,0.40,0.32,0.67,0.85,18,20,0.474
Mechanix,8/14/2021,MIN 24 - 15 DET,93% (239/258),50% (6/12),52% (13/25),42% (13/31),12% (2/17),40% (2/5),58% (7/12),19,7,0.93,0.50,0.52,0.42,0.12,0.40,0.58,24,15,0.385
Royal,8/14/2021,MTL 20 - 19 TOR,93% (226/244),63% (10/16),71% (15/21),56% (15/27),19% (4/21),33% (4/12),91% (10/11),18,8,0.93,0.63,0.71,0.56,0.19,0.33,0.91,20,19,0.513
Rush,8/14/2021,MTL 20 - 19 TOR,90% (179/199),90% (9/10),67% (14/21),50% (14/28),24% (5/21),45% (5/11),75% (12/16),20,9,0.90,0.90,0.67,0.50,0.24,0.45,0.75,20,19,0.487
Thunderbirds,8/14/2021,PIT 16 - 20 NY,93% (256/276),33% (2/6),59% (13/22),45% (13/29),19% (3/16),43% (3/7),71% (12/17),20,10,0.93,0.33,0.59,0.45,0.19,0.43,0.71,16,20,0.444
Wind Chill,8/14/2021,MIN 24 - 15 DET,95% (240/252),58% (7/12),88% (15/17),75% (15/20),36% (9/25),56% (9/16),88% (14/16),12,7,0.95,0.58,0.88,0.75,0.36,0.56,0.88,24,15,0.615
AlleyCats,8/15/2021,MIN 23 - 19 IND,91% (219/240),67% (8/12),60% (15/25),45% (15/33),20% (4/20),57% (4/7),63% (10/16),21,11,0.91,0.67,0.60,0.45,0.20,0.57,0.63,23,19,0.452
Outlaws,8/15/2021,OTT 21 - 23 TOR,90% (188/209),68% (13/19),64% (16/25),52% (16/31),23% (5/22),45% (5/11),100% (7/7),21,10,0.90,0.68,0.64,0.52,0.23,0.45,1.00,21,23,0.477
Rush,8/15/2021,OTT 21 - 23 TOR,91% (201/220),89% (8/9),68% (15/22),54% (15/28),32% (8/25),53% (8/15),82% (14/17),19,10,0.91,0.89,0.68,0.54,0.32,0.53,0.82,21,23,0.523
Wind Chill,8/15/2021,MIN 23 - 19 IND,95% (313/329),50% (4/8),75% (15/20),65% (15/23),32% (8/25),47% (8/17),100% (16/16),16,12,0.95,0.50,0.75,0.65,0.32,0.47,1.00,23,19,0.548
Empire,8/20/2021,BOS 21 - 25 NY,97% (291/299),77% (10/13),78% (18/23),69% (18/26),26% (7/27),88% (7/8),84% (16/19),8,10,0.97,0.77,0.78,0.69,0.26,0.88,0.84,21,25,0.543
Glory,8/20/2021,BOS 21 - 25 NY,94% (205/217),67% (6/9),70% (19/27),68% (19/28),9% (2/23),40% (2/5),87% (13/15),12,6,0.94,0.67,0.70,0.68,0.09,0.40,0.87,21,25,0.457
Growlers,8/20/2021,SJ 21 - 24 SD,95% (278/292),100% (6/6),64% (14/22),52% (14/27),40% (10/25),91% (10/11),89% (17/19),14,7,0.95,1.00,0.64,0.52,0.40,0.91,0.89,21,24,0.533
Spiders,8/20/2021,SJ 21 - 24 SD,94% (233/249),88% (14/16),60% (15/25),58% (15/26),27% (6/22),55% (6/11),74% (14/19),16,8,0.94,0.88,0.60,0.58,0.27,0.55,0.74,21,24,0.533
Aviators,8/21/2021,SJ 20 - 21 LA,92% (242/264),42% (5/12),64% (14/22),47% (14/30),30% (7/23),54% (7/13),65% (13/20),22,13,0.92,0.42,0.64,0.47,0.30,0.54,0.65,20,21,0.512
Breeze,8/21/2021,RAL 21 - 22 DC,95% (306/322),62% (8/13),71% (17/24),63% (17/27),23% (5/22),45% (5/11),84% (16/19),16,9,0.95,0.62,0.71,0.63,0.23,0.45,0.84,21,22,0.512
Flyers,8/21/2021,RAL 21 - 22 DC,96% (337/352),50% (5/10),61% (14/23),52% (14/27),29% (7/24),70% (7/10),89% (17/19),15,7,0.96,0.50,0.61,0.52,0.29,0.70,0.89,21,22,0.512
Glory,8/21/2021,BOS 22 - 19 PHI,94% (255/271),67% (6/9),80% (16/20),57% (16/28),25% (6/24),55% (6/11),83% (15/18),16,8,0.94,0.67,0.80,0.57,0.25,0.55,0.83,22,19,0.537
Hustle,8/21/2021,ATL 26 - 25 PIT,94% (241/256),67% (12/18),71% (20/28),69% (20/29),21% (6/28),46% (6/13),73% (11/15),15,11,0.94,0.67,0.71,0.69,0.21,0.46,0.73,26,25,0.51
Mechanix,8/21/2021,CHI 29 - 19 DET,91% (271/297),56% (9/16),55% (17/31),45% (17/38),10% (2/21),20% (2/10),63% (5/8),26,8,0.91,0.56,0.55,0.45,0.10,0.20,0.63,29,19,0.396
